TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-03,2026-09-03,CM,NSE,STK,11536,INE467B01029,TCS,EQ,4000.00,4020.00,3960.00,3980.00,3985.00,4260.00,3980.00,3980.00,0,0,1500000,5970000000,92000,Regular,1,,,,,
2026-09-03,2026-09-03,CM,NSE,STK,2885,INE002A01018,RELIANCE,EQ,3005.00,3035.00,2995.00,3020.00,3018.00,3000.00,3020.00,3020.00,0,0,3200000,9664000000,128000,Regular,1,,,,,
2026-09-03,2026-09-03,CM,NSE,STK,1594,INE009A01021,INFY,EQ,1838.00,1855.00,1825.00,1840.00,1842.00,1835.00,1840.00,1840.00,0,0,2500000,4600000000,98000,Regular,1,,,,,
2026-09-03,2026-09-03,CM,NSE,STK,1333,INE040A01034,HDFCBANK,EQ,1668.00,1680.00,1660.00,1670.00,1672.00,1665.00,1670.00,1670.00,0,0,4300000,7181000000,132000,Regular,1,,,,,
2026-09-03,2026-09-03,CM,NSE,STK,3045,INE062A01020,SBIN,EQ,819.00,828.00,815.00,822.00,824.00,818.00,822.00,822.00,0,0,5100000,4192200000,148000,Regular,1,,,,,
2026-09-03,2026-09-03,CM,NSE,STK,4963,INE090A01021,ICICIBANK,EQ,1245.00,1260.00,1238.00,1250.00,1252.00,1242.00,1250.00,1250.00,0,0,4000000,5000000000,118000,Regular,1,,,,,
2026-09-03,2026-09-03,CM,NSE,STK,1552,INE155A01022,TATAMOTORS,EQ,988.00,995.00,970.00,975.00,978.00,992.00,975.00,975.00,0,0,3100000,3022500000,91000,Regular,1,,,,,
2026-09-03,2026-09-03,CM,NSE,STK,3972,INE397D01024,BHARTIARTL,EQ,1560.00,1580.00,1558.00,1570.00,1572.00,1565.00,1570.00,1570.00,0,0,1850000,2904500000,80000,Regular,1,,,,,
2026-09-03,2026-09-03,CM,NSE,STK,1542,INE154A01025,ITC,EQ,487.00,493.00,486.00,490.00,491.00,488.00,490.00,490.00,0,0,5300000,2597000000,108000,Regular,1,,,,,
2026-09-03,2026-09-03,CM,NSE,STK,7522,INE075A01022,WIPRO,EQ,520.00,524.00,516.00,518.00,520.00,522.00,518.00,518.00,0,0,2150000,1113700000,69000,Regular,1,,,,,
2026-09-03,2026-09-03,CM,NSE,STK,1822,INE018A01030,LT,EQ,3630.00,3645.00,3610.00,3620.00,3622.00,3640.00,3620.00,3620.00,0,0,1150000,4163000000,56000,Regular,1,,,,,
